Name,ERA_Correctness,FIP_Correctness,WHIP_Correctness
Jonathan Heasley,Correct :),Correct :),Correct :)
Chris Volstad,Correct :),Correct :),Correct :)
Robert Gsellman,Correct :),Correct :),Correct :)
Angel Zerpa,Correct :),Correct :),Correct :)
Aníbal Sánchez,Correct :),Correct :),Correct :)
William Cuevas,Correct :),Correct :),Correct :)
Brad Peacock,Correct :),Correct :),Correct :)
Troy Scribner,Correct :),Correct :),Correct :)
Brian Flynn,Correct :),Correct :),Correct :)
Michael Wacha,Correct :),Correct :),Correct :)
Nestor Cortes,Correct :),Correct :),Correct :)
Ryan Weber,Correct :),Correct :),Correct :)
Jordan Zimmermann,Correct :),Correct :),Correct :)
Chi Chi González,Correct :),Correct :),Correct :)
Jordan Wicks,Correct :),Correct :),Correct :)
John Schreiber,Correct :),Correct :),Correct :)
Matt Grace,Correct :),Correct :),Correct :)
Cole Hamels,Correct :),Correct :),Correct :)
Jalen Beeks,Correct :),Correct :),Correct :)
Josh Sborz,Correct :),Correct :),Correct :)
Cody Reed,Correct :),Correct :),Correct :)
Trevor Bauer,Correct :),Correct :),Correct :)
Matt Barnes,Correct :),Correct :),Correct :)
Luis Patiño,Correct :),Correct :),Correct :)
Tyler Chatwood,Correct :),Correct :),Correct :)
David Hale,Correct :),Correct :),Correct :)
Hunter Gaddis,Correct :),Correct :),Correct :)
Fernando Romero,Correct :),Correct :),Correct :)
Miguel Díaz,Correct :),Correct :),Correct :)
Gio González,Correct :),Correct :),Correct :)
Brendan White,Correct :),Correct :),Correct :)
Alec Marsh,Correct :),Correct :),Correct :)
Matt Brash,Correct :),Correct :),Correct :)
Gerrit Cole,Correct :),Correct :),Correct :)
Alex Faedo,Correct :),Correct :),Correct :)
Riley O'Brien,Correct :),Correct :),Correct :)
Erick Fedde,Correct :),Correct :),Correct :)
Kaleb Ort,Correct :),Correct :),Correct :)
Paolo Espino,Correct :),Correct :),Correct :)
Jake Arrieta,Correct :),Correct :),Correct :)
Daniel Ponce de Leon,Correct :),Correct :),Correct :)
Daniel Mengden,Correct :),Correct :),Correct :)
Daulton Jefferies,Correct :),Correct :),Correct :)
Tim Melville,Correct :),Correct :),Correct :)
Cody Poteet,Correct :),Correct :),Correct :)
Bartolo Colon,Correct :),Correct :),Correct :)
Matt Dermody,Correct :),Correct :),Correct :)
Parker Bridwell,Correct :),Correct :),Correct :)
Tony Gonsolin,Correct :),Correct :),Correct :)
Bryse Wilson,Correct :),Correct :),Correct :)
Evan Lee,Correct :),Correct :),Correct :)
Brady Singer,Correct :),Correct :),Correct :)
José Urquidy,Correct :),Correct :),Correct :)
Blake Snell,Correct :),Correct :),Correct :)
Alex Wells,Correct :),Correct :),Correct :)
Domingo Germán,Correct :),Correct :),Correct :)
Scott McGough,Correct :),Correct :),Correct :)
Konnor Pilkington,Correct :),Correct :),Correct :)
Steven Okert,Correct :),Correct :),Correct :)
Chris Archer,Correct :),Correct :),Correct :)
Duane Underwood Jr.,Correct :),Correct :),Correct :)
Bryce Elder,Correct :),Correct :),Correct :)
Brandon Williamson,Correct :),Correct :),Correct :)
Michael Kopech,Correct :),Correct :),Correct :)
Ty Blach,Correct :),Correct :),Correct :)
Kolby Allard,Correct :),Correct :),Correct :)
Sandy Alcantara,Correct :),Correct :),Correct :)
Erasmo Ramírez,Correct :),Correct :),Correct :)
Marco Estrada,Correct :),Correct :),Correct :)
Will Vest,Correct :),Correct :),Correct :)
Darren McCaughan,Correct :),Correct :),Correct :)
Masahiro Tanaka,Correct :),Correct :),Correct :)
Rony García,Correct :),Correct :),Correct :)
Javy Guerra,Correct :),Correct :),Correct :)
Jhonathan Diaz,Correct :),Correct :),Correct :)
Eury Pérez,Correct :),Correct :),Correct :)
Jack Flaherty,Correct :),Correct :),Correct :)
Nick Margevicius,Correct :),Correct :),Correct :)
Charlie Morton,Correct :),Correct :),Correct :)
Alec Bettinger,Correct :),Correct :),Correct :)
Thomas Eshelman,Correct :),Correct :),Correct :)
Tylor Megill,Correct :),Correct :),Correct :)
Josiah Gray,Correct :),Correct :),Correct :)
Max Fried,Correct :),Correct :),Correct :)
Taylor Widener,Correct :),Correct :),Correct :)
Lyon Richardson,Correct :),Correct :),Correct :)
Brandon McCarthy,Correct :),Correct :),Correct :)
Jeffrey Springs,Correct :),Correct :),Correct :)
Andre Jackson,Correct :),Correct :),Correct :)
Ryan Walker,Correct :),Correct :),Correct :)
Josh A. Smith,Correct :),Correct :),Correct :)
Wil Crowe,Correct :),Correct :),Correct :)
Dinelson Lamet,Correct :),Correct :),Correct :)
Travis Lakins Sr.,Correct :),Correct :),Correct :)
Justin Bruihl,Correct :),Correct :),Correct :)
Jeff Brigham,Correct :),Correct :),Correct :)
James Paxton,Correct :),Correct :),Correct :)
Jimmy Nelson,Correct :),Correct :),Correct :)
Jimmy Cordero,Correct :),Correct :),Correct :)
Nick Wittgren,Correct :),Correct :),Correct :)
Tyler Anderson,Correct :),Correct :),Correct :)
Jason Alexander,Correct :),Correct :),Correct :)
Levi Stoudt,Correct :),Correct :),Correct :)
Josh Lucas,Correct :),Correct :),Correct :)
Dallas Keuchel,Correct :),Correct :),Correct :)
Bruce Zimmermann,Correct :),Correct :),Correct :)
Lance McCullers Jr.,Correct :),Correct :),Correct :)
Anthony Banda,Correct :),Correct :),Correct :)
Sonny Gray,Correct :),Correct :),Correct :)
Stephen Strasburg,Correct :),Correct :),Correct :)
Dan Jennings,Correct :),Correct :),Correct :)
Taj Bradley,Correct :),Correct :),Correct :)
Cody Morris,Correct :),Correct :),Correct :)
Wes Benjamin,Correct :),Correct :),Correct :)
John Gant,Correct :),Correct :),Correct :)
Drew VerHagen,Correct :),Correct :),Correct :)
Jordan Lyles,Correct :),Correct :),Correct :)
Lucas Gilbreath,Correct :),Correct :),Correct :)
Sam Long,Correct :),Correct :),Correct :)
Tyler Glasnow,Correct :),Correct :),Correct :)
Derek Law,Correct :),Correct :),Correct :)
Danny Duffy,Correct :),Correct :),Correct :)
Randy Vásquez,Correct :),Correct :),Correct :)
Drey Jameson,Correct :),Correct :),Correct :)
Dennis Santana,Correct :),Correct :),Correct :)
Penn Murfee,Correct :),Correct :),Correct :)
Ronel Blanco,Correct :),Correct :),Correct :)
Gavin Stone,Correct :),Correct :),Correct :)
Carlos Martinez,Correct :),Correct :),Correct :)
Kutter Crawford,Correct :),Correct :),Correct :)
Elvin Rodriguez,Correct :),Correct :),Correct :)
Mike Wright Jr.,Correct :),Correct :),Correct :)
AJ Smith-Shawver,Correct :),Correct :),Correct :)
Aaron Wilkerson,Correct :),Correct :),Correct :)
Andrew Wantz,Correct :),Correct :),Correct :)
Aaron Loup,Correct :),Correct :),Correct :)
Joey Lucchesi,Correct :),Correct :),Correct :)
Garrett Cleavinger,Correct :),Correct :),Correct :)
Miguel González,Correct :),Correct :),Correct :)
Freddy Peralta,Correct :),Correct :),Correct :)
Javier Assad,Correct :),Correct :),Correct :)
Joel Payamps,Correct :),Correct :),Correct :)
Kyle Dowdy,Correct :),Correct :),Correct :)
JT Chargois,Correct :),Correct :),Correct :)
Yovani Gallardo,Correct :),Correct :),Correct :)
Casey Mize,Correct :),Correct :),Correct :)
Corbin Martin,Correct :),Correct :),Correct :)
Marco Gonzales,Correct :),Correct :),Correct :)
Aaron Nola,Correct :),Correct :),Correct :)
Cole Sands,Correct :),Correct :),Correct :)
Sam Moll,Correct :),Correct :),Correct :)
Chris Paddack,Correct :),Correct :),Correct :)
Michael Lorenzen,Correct :),Correct :),Correct :)
Chris Rodriguez,Correct :),Correct :),Correct :)
Jaime García,Correct :),Correct :),Correct :)
Sergio Romo,Correct :),Correct :),Correct :)
Tanner Roark,Correct :),Correct :),Correct :)
Mike Foltynewicz,Correct :),Correct :),Correct :)
Ben Lively,Correct :),Correct :),Correct :)
Carlos Carrasco,Correct :),Correct :),Correct :)
Enyel De Los Santos,Correct :),Correct :),Correct :)
Kyle Hendricks,Correct :),Correct :),Correct :)
Taijuan Walker,Correct :),Correct :),Correct :)
Luis L. Ortiz,Correct :),Correct :),Correct :)
Jesse Scholtens,Correct :),Correct :),Correct :)
Cody Stashak,Correct :),Correct :),Correct :)
Mike Fiers,Correct :),Correct :),Correct :)
Manny Bañuelos,Correct :),Correct :),Correct :)
Eli Morgan,Correct :),Correct :),Correct :)
Dean Kremer,Correct :),Correct :),Correct :)
Jacob Barnes,Correct :),Correct :),Correct :)
Liam Hendriks,Correct :),Correct :),Correct :)
Caleb Ferguson,Correct :),Correct :),Correct :)
Travis Bergen,Correct :),Correct :),Correct :)
Heath Fillmyer,Correct :),Correct :),Correct :)
Kyle Funkhouser,Correct :),Correct :),Correct :)
Tarik Skubal,Correct :),Correct :),Correct :)
Derek Holland,Correct :),Correct :),Correct :)
Brandon Pfaadt,Correct :),Correct :),Correct :)
Drew Smith,Correct :),Correct :),Correct :)
Martín Pérez,Correct :),Correct :),Correct :)
Corey Kluber,Correct :),Correct :),Correct :)
Bryan Shaw,Correct :),Correct :),Correct :)
Logan Gilbert,Correct :),Correct :),Correct :)
Jordan Yamamoto,Correct :),Correct :),Correct :)
Robert Dugger,Correct :),Correct :),Correct :)
Garrett Richards,Correct :),Correct :),Correct :)
Denyi Reyes,Correct :),Correct :),Correct :)
Phil Hughes,Correct :),Correct :),Correct :)
Lewis Thorpe,Correct :),Correct :),Correct :)
Vladimir Gutierrez,Correct :),Correct :),Correct :)
Graham Ashcraft,Correct :),Correct :),Correct :)
Jacob Waguespack,Correct :),Correct :),Correct :)
Madison Bumgarner,Correct :),Correct :),Correct :)
Braxton Garrett,Correct :),Correct :),Correct :)
Nathan Eovaldi,Correct :),Correct :),Correct :)
Jake Odorizzi,Correct :),Correct :),Correct :)
Kyle Nelson,Correct :),Correct :),Correct :)
Aaron Brooks,Correct :),Correct :),Correct :)
Thomas Pannone,Correct :),Correct :),Correct :)
Brandon Finnegan,Correct :),Correct :),Correct :)
Jared Koenig,Correct :),Correct :),Correct :)
Andrew Abbott,Correct :),Correct :),Correct :)
Hunter Wood,Correct :),Correct :),Correct :)
Jesús Luzardo,Correct :),Correct :),Correct :)
Ryan Feltner,Correct :),Correct :),Correct :)
Jon Gray,Correct :),Correct :),Correct :)
Reiver Sanmartin,Correct :),Correct :),Correct :)
Zach Thompson,Correct :),Correct :),Correct :)
Cam Bedrosian,Correct :),Correct :),Correct :)
Austin Cox,Correct :),Correct :),Correct :)
Shane Bieber,Correct :),Correct :),Correct :)
Nate Karns,Correct :),Correct :),Correct :)
Walker Buehler,Correct :),Correct :),Correct :)
James Kaprielian,Correct :),Correct :),Correct :)
Zach Eflin,Correct :),Correct :),Correct :)
Cade Cavalli,Correct :),Correct :),Correct :)
Sean Nolin,Correct :),Correct :),Correct :)
Ryan Weathers,Correct :),Correct :),Correct :)
Marcus Stroman,Correct :),Correct :),Correct :)
Jake Faria,Correct :),Correct :),Correct :)
Jimmy Lambert,Correct :),Correct :),Correct :)
Janson Junk,Correct :),Correct :),Correct :)
Hector Noesí,Correct :),Correct :),Correct :)
Andrew Kittredge,Correct :),Correct :),Correct :)
Joe Ryan,Correct :),Correct :),Correct :)
Dylan Covey,Correct :),Correct :),Correct :)
Chandler Shepherd,Correct :),Correct :),Correct :)
Kyle Freeland,Correct :),Correct :),Correct :)
Brennan Bernardino,Correct :),Correct :),Correct :)
Lucas Sims,Correct :),Correct :),Correct :)
Alex Vesia,Correct :),Correct :),Correct :)
Kris Bubic,Correct :),Correct :),Correct :)
Zack Greinke,Correct :),Correct :),Correct :)
Merandy Gonzalez,Correct :),Correct :),Correct :)
Tyler Ivey,Correct :),Correct :),Correct :)
Brock Burke,Correct :),Correct :),Correct :)
Julian Merryweather,Correct :),Correct :),Correct :)
Ross Detwiler,Correct :),Correct :),Correct :)
Kyle McGowin,Correct :),Correct :),Correct :)
Brayan Bello,Correct :),Correct :),Correct :)
Cory Gearrin,Correct :),Correct :),Correct :)
Spencer Turnbull,Correct :),Correct :),Correct :)
Dany Jiménez,Correct :),Correct :),Correct :)
Tony Santillan,Correct :),Correct :),Correct :)
Brent Suter,Correct :),Correct :),Correct :)
DL Hall,Correct :),Correct :),Correct :)
JP Sears,Correct :),Correct :),Correct :)
Emerson Hancock,Correct :),Correct :),Correct :)
Matt Koch,Correct :),Correct :),Correct :)
Taylor Clarke,Correct :),Correct :),Correct :)
Anthony Kay,Correct :),Correct :),Correct :)
Danny Coulombe,Correct :),Correct :),Correct :)
Blaine Hardy,Correct :),Correct :),Correct :)
Drew Pomeranz,Correct :),Correct :),Correct :)
Aaron Sanchez,Correct :),Correct :),Correct :)
Joan Adon,Correct :),Correct :),Correct :)
Ljay Newsome,Correct :),Correct :),Correct :)
Beau Brieske,Correct :),Correct :),Correct :)
T.J. Zeuch,Correct :),Correct :),Correct :)
Ryne Nelson,Correct :),Correct :),Correct :)
Ryan Pepiot,Correct :),Correct :),Correct :)
Colin Rea,Correct :),Correct :),Correct :)
Kodai Senga,Correct :),Correct :),Correct :)
Matt Wisler,Correct :),Correct :),Correct :)
Drew Anderson,Correct :),Correct :),Correct :)
Matthew Liberatore,Correct :),Correct :),Correct :)
Michael King,Correct :),Correct :),Correct :)
Matt Festa,Correct :),Correct :),Correct :)
Glenn Sparkman,Correct :),Correct :),Correct :)
Luis Castillo,Correct :),Correct :),Correct :)
Yu Darvish,Correct :),Correct :),Correct :)
Héctor Rondón,Correct :),Correct :),Correct :)
Andrew Moore,Correct :),Correct :),Correct :)
Matthew Boyd,Correct :),Correct :),Correct :)
Nick Nelson,Correct :),Correct :),Correct :)
Logan Allen,Correct :),Correct :),Correct :)
Logan Allen,Correct :),Correct :),Correct :)
Logan Allen,Correct :),Correct :),Correct :)
Logan Allen,Correct :),Correct :),Correct :)
Logan Allen,Correct :),Correct :),Correct :)
Logan Allen,Correct :),Correct :),Correct :)
Logan Allen,Correct :),Correct :),Correct :)
Logan Allen,Correct :),Correct :),Correct :)
Brendan McKay,Correct :),Correct :),Correct :)
Darien Núñez,Correct :),Correct :),Correct :)
Matt Peacock,Correct :),Correct :),Correct :)
Corbin Burnes,Correct :),Correct :),Correct :)
Zack Thompson,Correct :),Correct :),Correct :)
Chad Green,Correct :),Correct :),Correct :)
Joe Musgrove,Correct :),Correct :),Correct :)
Yohander Méndez,Correct :),Correct :),Correct :)
Brett Kennedy,Correct :),Correct :),Correct :)
Austin Gomber,Correct :),Correct :),Correct :)
Ryan Tepera,Correct :),Correct :),Correct :)
José Alvarado,Correct :),Correct :),Correct :)
Patrick Sandoval,Correct :),Correct :),Correct :)
Sam Coonrod,Correct :),Correct :),Correct :)
Nick Martinez,Correct :),Correct :),Correct :)
Casey Sadler,Correct :),Correct :),Correct :)
Zach Logue,Correct :),Correct :),Correct :)
Artie Lewicki,Correct :),Correct :),Correct :)
Junior Guerra,Correct :),Correct :),Correct :)
Karl Kauffmann,Correct :),Correct :),Correct :)
Michael Pineda,Correct :),Correct :),Correct :)
John Axford,Correct :),Correct :),Correct :)
Mitch Keller,Correct :),Correct :),Correct :)
Jerad Eickhoff,Correct :),Correct :),Correct :)
Hansel Robles,Correct :),Correct :),Correct :)
Spenser Watkins,Correct :),Correct :),Correct :)
Tyler Beede,Correct :),Correct :),Correct :)
Johan Oviedo,Correct :),Correct :),Correct :)
Bobby Miller,Correct :),Correct :),Correct :)
Tommy Milone,Correct :),Correct :),Correct :)
Zac Gallen,Correct :),Correct :),Correct :)
Alex Claudio,Correct :),Correct :),Correct :)
Tommy Henry,Correct :),Correct :),Correct :)
John Means,Correct :),Correct :),Correct :)
Jacob Turner,Correct :),Correct :),Correct :)
Julio Teheran,Correct :),Correct :),Correct :)
JT Brubaker,Correct :),Correct :),Correct :)
Nabil Crismatt,Correct :),Correct :),Correct :)
Quinn Priester,Correct :),Correct :),Correct :)
David Phelps,Correct :),Correct :),Correct :)
Miles Mikolas,Correct :),Correct :),Correct :)
Edwin Jackson,Correct :),Correct :),Correct :)
Cole Irvin,Correct :),Correct :),Correct :)
Louis Head,Correct :),Correct :),Correct :)
Jameson Taillon,Correct :),Correct :),Correct :)
Eric Lauer,Correct :),Correct :),Correct :)
Tristan Beck,Correct :),Correct :),Correct :)
Xzavion Curry,Correct :),Correct :),Correct :)
Chris Tillman,Correct :),Correct :),Correct :)
Nick Neidert,Correct :),Correct :),Correct :)
Walker Lockett,Correct :),Correct :),Correct :)
José Butto,Correct :),Correct :),Correct :)
Tommy Romero,Correct :),Correct :),Correct :)
Zac Reininger,Correct :),Correct :),Correct :)
Sean Reid-Foley,Correct :),Correct :),Correct :)
Josh Staumont,Correct :),Correct :),Correct :)
Luke Weaver,Correct :),Correct :),Correct :)
Steven Wilson,Correct :),Correct :),Correct :)
Zac Lowther,Correct :),Correct :),Correct :)
Dylan Dodd,Correct :),Correct :),Correct :)
Matt Swarmer,Correct :),Correct :),Correct :)
Shawn Dubin,Correct :),Correct :),Correct :)
Carlos Rodón,Correct :),Correct :),Correct :)
Seth Frankoff,Correct :),Correct :),Correct :)
Trevor Richards,Correct :),Correct :),Correct :)
Richard Bleier,Correct :),Correct :),Correct :)
Noé Ramirez,Correct :),Correct :),Correct :)
Collin McHugh,Correct :),Correct :),Correct :)
Touki Toussaint,Correct :),Correct :),Correct :)
Spencer Strider,Correct :),Correct :),Correct :)
MacKenzie Gore,Correct :),Correct :),Correct :)
Kris Medlen,Correct :),Correct :),Correct :)
Tyler Duffey,Correct :),Correct :),Correct :)
Connor Seabold,Correct :),Correct :),Correct :)
Brandon Woodruff,Correct :),Correct :),Correct :)
Matt Harvey,Correct :),Correct :),Correct :)
Keegan Akin,Correct :),Correct :),Correct :)
Peyton Battenfield,Correct :),Correct :),Correct :)
José Rodríguez,Correct :),Correct :),Correct :)
Aríel Miranda,Correct :),Correct :),Correct :)
Michael Feliz,Correct :),Correct :),Correct :)
Jon Duplantier,Correct :),Correct :),Correct :)
Ryan Burr,Correct :),Correct :),Correct :)
Lucas Luetge,Correct :),Correct :),Correct :)
Gabriel Moya,Correct :),Correct :),Correct :)
Chris Bassitt,Correct :),Correct :),Correct :)
Trevor May,Correct :),Correct :),Correct :)
Michael Soroka,Correct :),Correct :),Correct :)
Clayton Richard,Correct :),Correct :),Correct :)
Thomas Hatch,Correct :),Correct :),Correct :)
Fernando Cruz,Correct :),Correct :),Correct :)
Jay Jackson,Correct :),Correct :),Correct :)
Drew Rucinski,Correct :),Correct :),Correct :)
Jaime Schultz,Correct :),Correct :),Correct :)
Brett Anderson,Correct :),Correct :),Correct :)
Anthony Bender,Correct :),Correct :),Correct :)
Garrett Hill,Correct :),Correct :),Correct :)
Drew Rom,Correct :),Correct :),Correct :)
Burch Smith,Correct :),Correct :),Correct :)
Cristopher Sánchez,Correct :),Correct :),Correct :)
Kyle Gibson,Correct :),Correct :),Correct :)
Daniel Gossett,Correct :),Correct :),Correct :)
Ian Anderson,Correct :),Correct :),Correct :)
Mike Minor,Correct :),Correct :),Correct :)
Connor Brogdon,Correct :),Correct :),Correct :)
José Ureña,Correct :),Correct :),Correct :)
Mike Hauschild,Correct :),Correct :),Correct :)
Daniel Norris,Correct :),Correct :),Correct :)
Shane Baz,Correct :),Correct :),Correct :)
Luis Santos,Correct :),Correct :),Correct :)
Alex McRae,Correct :),Correct :),Correct :)
Randy Dobnak,Correct :),Correct :),Correct :)
Justin Garza,Correct :),Correct :),Correct :)
Shaun Anderson,Correct :),Correct :),Correct :)
Génesis Cabrera,Correct :),Correct :),Correct :)
Jon Lester,Correct :),Correct :),Correct :)
Lou Trivino,Correct :),Correct :),Correct :)
Rookie Davis,Correct :),Correct :),Correct :)
Alex Reyes,Correct :),Correct :),Correct :)
Jake Woodford,Correct :),Correct :),Correct :)
Christian Bergman,Correct :),Correct :),Correct :)
Triston McKenzie,Correct :),Correct :),Correct :)
Conner Menez,Correct :),Correct :),Correct :)
Griffin Jax,Correct :),Correct :),Correct :)
Wilmer Font,Correct :),Correct :),Correct :)
Sean Manaea,Correct :),Correct :),Correct :)
Francisco Pérez,Correct :),Correct :),Correct :)
Riley Smith,Correct :),Correct :),Correct :)
José De León,Correct :),Correct :),Correct :)
Mitch White,Correct :),Correct :),Correct :)
Tommy Nance,Correct :),Correct :),Correct :)
Tyler Mahle,Correct :),Correct :),Correct :)
Mike Clevinger,Correct :),Correct :),Correct :)
Logan Webb,Correct :),Correct :),Correct :)
Brett Martin,Correct :),Correct :),Correct :)
Drew Gagnon,Correct :),Correct :),Correct :)
Tyler Wells,Correct :),Correct :),Correct :)
Stephen Tarpley,Correct :),Correct :),Correct :)
Luis García,Correct :),Correct :),Correct :)
Jesse Chavez,Correct :),Correct :),Correct :)
Chris Devenski,Correct :),Correct :),Correct :)
Robbie Ray,Correct :),Correct :),Correct :)
Huascar Ynoa,Correct :),Correct :),Correct :)
Easton McGee,Correct :),Correct :),Correct :)
Hunter Brown,Correct :),Correct :),Correct :)
Edinson Volquez,Correct :),Correct :),Correct :)
Adbert Alzolay,Correct :),Correct :),Correct :)
Edwin Uceta,Correct :),Correct :),Correct :)
Max Kranick,Correct :),Correct :),Correct :)
Josh Winckowski,Correct :),Correct :),Correct :)
Matt Waldron,Correct :),Correct :),Correct :)
Scott Effross,Correct :),Correct :),Correct :)
Peter Lambert,Correct :),Correct :),Correct :)
Chad Bettis,Correct :),Correct :),Correct :)
Sal Romano,Correct :),Correct :),Correct :)
Ashton Goudeau,Correct :),Correct :),Correct :)
Max Meyer,Correct :),Correct :),Correct :)
Tyler Alexander,Correct :),Correct :),Correct :)
Jose Cuas,Correct :),Correct :),Correct :)
Hans Crouse,Correct :),Correct :),Correct :)
Doug Fister,Correct :),Correct :),Correct :)
Jeff Samardzija,Correct :),Correct :),Correct :)
Mason Miller,Correct :),Correct :),Correct :)
Davis Martin,Correct :),Correct :),Correct :)
