Team,TG,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"BOS",1648,23682,56961,63597,15071,9588,3352,241,1890,8142,7733,5438,335,13134,583,442,153,1310,849,258,0.26458454
"HOU",1654,23343,55871,62548,14264,9003,2916,206,2139,7801,7464,5392,220,13104,604,451,191,1295,939,357,0.25530239
"DET",1644,23659,55974,61686,14265,9525,2764,334,1642,6938,6654,4633,235,13635,484,422,167,1270,683,298,0.25485047
"KCR",1643,23345,55876,61374,14189,9625,2732,338,1494,6812,6461,4196,186,12264,566,438,278,1229,1257,365,0.25393729
"TOR",1661,24216,55892,62384,14170,8898,2911,165,2196,7696,7370,5375,151,12997,515,384,199,1320,745,272,0.25352465
"CLE",1660,23799,55584,62304,14062,9096,2945,253,1768,7428,7073,5352,271,12444,568,484,307,1184,1120,295,0.25298647
"CHW",1638,23393,56032,61658,14139,9483,2673,256,1727,6940,6637,4348,178,13961,642,376,246,1235,778,310,0.25233795
"MIN",1660,23735,56084,62612,14028,8880,2918,251,1979,7484,7150,5333,224,14028,587,404,195,1108,655,265,0.25012481
"BAL",1658,23593,56053,61693,14006,8999,2715,178,2114,7220,6930,4463,182,13715,579,382,203,1164,634,240,0.24987066
"TEX",1655,23332,55668,61981,13886,9040,2675,243,1928,7490,7105,4950,206,13703,670,424,261,1094,1120,397,0.24944313
"TBR",1660,24247,55754,62436,13884,8881,2820,299,1884,7288,6939,5356,227,14148,710,431,174,1120,954,393,0.24902249
"LAA",1660,24267,55640,62071,13845,9034,2640,251,1920,7321,6985,5104,325,12983,629,440,230,1270,815,310,0.24883178
"NYY",1666,23507,55385,62311,13754,8805,2519,192,2238,7735,7369,5663,220,13400,594,454,180,1220,839,252,0.24833439
"SEA",1655,23790,55597,62048,13521,8758,2578,210,1975,7100,6794,5174,209,13955,681,374,205,1163,843,349,0.24319658
"OAK",1664,23964,55498,62106,13430,8482,2804,246,1898,7273,6924,5383,193,13159,639,409,159,1246,733,233,0.2419907
