Team,TG,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"BOS",1698,1885,6756,7669,1889,1079,442,16,352,1003,1165,797,118,1489,51,61,1,219,38,9,0.27960332
"DET",1587,1640,5637,6224,1521,1090,243,5,183,605,761,481,70,997,44,59,1,186,14,5,0.26982437
"TOR",1624,2079,7140,8163,1856,1080,378,14,384,1064,1156,892,53,1572,66,59,0,202,42,12,0.25994398
"BAL",1662,2125,7378,8119,1897,1166,362,16,353,979,1037,630,30,1916,69,39,2,160,28,19,0.25711575
"LAA",1610,2028,7372,8198,1895,1132,336,38,389,999,1205,706,103,1584,50,61,0,196,115,40,0.25705372
"MIN",1691,2452,8604,9821,2193,1350,461,18,364,1207,1169,1049,60,2271,86,73,5,187,35,12,0.25488145
"TBR",1657,2097,6719,7540,1699,1035,359,31,274,883,920,665,42,1764,92,59,1,140,46,45,0.25286501
"TEX",1622,2143,7265,8260,1829,1207,344,17,261,956,974,809,34,1777,112,64,9,164,69,21,0.25175499
"KCR",1646,2003,6458,7232,1610,998,323,14,275,775,918,625,33,1595,83,52,1,194,44,11,0.24930319
"HOU",1592,2132,7160,8035,1769,978,388,26,377,984,1142,730,47,1935,76,67,2,176,21,12,0.24706704
"NYY",1650,1872,6410,7301,1579,906,295,7,371,911,1036,761,39,1824,67,60,1,170,39,7,0.24633385
"SEA",1578,1823,6093,6887,1495,905,247,6,337,802,933,672,41,1615,84,37,1,138,15,7,0.24536353
"CLE",1719,2047,6649,7586,1598,979,311,16,292,832,992,819,33,1807,49,64,2,169,29,12,0.24033689
"OAK",1635,2033,6524,7282,1556,969,311,13,263,814,916,615,26,1685,81,60,1,194,16,6,0.23850399
"CHW",1611,2189,7338,8160,1726,1058,311,14,343,859,1070,691,35,2194,82,46,1,171,13,12,0.23521395
