Team,TG,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"COL",1649,24007,56305,62291,14841,9612,2952,396,1881,7741,7409,4669,308,13802,459,400,450,1200,796,330,0.26358228
"WSN",1657,23499,55537,62384,14243,9354,2811,251,1827,7443,7081,5345,370,12877,614,440,438,1232,964,297,0.25645966
"ATL",1647,23732,55759,62425,14185,9202,2826,220,1937,7475,7158,5274,395,13575,597,372,410,1202,829,297,0.25439839
"LAD",1665,24566,55597,63043,14114,8792,2927,251,2144,7932,7572,5936,361,13435,693,436,364,1139,796,261,0.25386262
"STL",1646,24111,55341,62252,13982,9128,2798,234,1822,7407,7067,5316,291,13051,764,428,386,1229,741,291,0.25265174
"SFG",1656,24769,55948,62392,13968,9293,2779,320,1576,6983,6673,5096,334,13293,558,436,345,1230,690,272,0.2496604
"ARI",1655,24167,56250,62832,14016,8993,2892,408,1723,7331,6937,5210,334,13568,535,420,392,1183,982,291,0.24917333
"PIT",1647,24196,55498,62058,13726,9128,2725,328,1545,6803,6477,5045,338,13346,709,375,419,1156,863,388,0.24732423
"MIA",1626,24130,55560,61444,13733,9541,2485,290,1417,6395,6075,4494,294,13672,594,352,417,1301,853,304,0.24717423
"CIN",1654,23964,55297,62147,13619,8906,2616,250,1847,7071,6756,5234,303,13721,747,387,458,1190,1003,387,0.24628823
"PHI",1658,23854,55657,61961,13699,8936,2686,309,1768,6985,6651,4976,325,13935,585,359,371,1129,884,276,0.24613256
"CHC",1660,24270,55431,62573,13643,8688,2731,284,1940,7361,7017,5563,352,14533,820,378,362,1174,788,344,0.24612581
"NYM",1653,24113,55513,62285,13636,8841,2678,234,1883,7061,6791,5271,331,13423,791,368,335,1221,717,270,0.24563616
"MIL",1653,24300,55140,61940,13472,8648,2630,238,1956,7118,6798,5380,302,14426,652,359,385,1253,1153,363,0.24432354
"SDP",1653,24148,54917,61383,13091,8534,2554,265,1738,6723,6404,5121,265,14193,527,397,400,1109,986,348,0.23837792
