Team,TG,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"COL",377,360,1319,1472,351,236,62,10,43,179,173,116,5,273,25,8,4,32,5,2,0.26611069
"MIA",637,564,1998,2230,509,308,104,3,94,240,290,185,3,546,23,19,0,52,3,1,0.25475475
"LAD",337,344,1154,1294,293,163,71,3,56,162,201,104,3,325,18,15,0,37,5,2,0.25389948
"ATL",535,497,1587,1769,400,240,65,1,94,222,241,167,5,444,6,9,0,37,4,1,0.25204789
"WSN",452,380,1379,1523,343,245,61,1,36,149,187,119,4,359,12,10,0,39,5,0,0.24873096
"SFG",347,572,1689,1915,418,261,81,5,71,239,214,190,5,411,23,12,1,49,11,1,0.24748372
"PHI",479,516,1744,2009,427,240,91,5,91,277,266,238,19,496,13,14,0,37,22,8,0.24483945
"STL",429,265,715,829,168,98,30,2,38,100,125,85,3,189,20,9,0,16,2,3,0.23496503
"CIN",446,504,1557,1762,365,244,63,3,55,185,186,166,3,454,32,7,0,35,9,2,0.23442518
"CHC",360,655,2054,2330,480,298,100,5,77,278,285,197,4,601,62,13,2,61,11,8,0.23369036
"NYM",394,592,1668,1890,385,240,77,3,65,195,237,186,8,485,22,13,1,41,17,2,0.23081535
"MIL",468,434,1372,1551,310,197,63,2,48,169,188,147,3,418,22,8,0,26,17,9,0.22594752
"ARI",798,680,2164,2430,485,278,123,8,76,263,276,220,6,562,25,17,0,51,22,6,0.224122
"PIT",656,385,1285,1486,287,187,49,2,49,156,158,175,6,361,9,17,0,31,10,4,0.2233463
"SDP",345,479,1391,1588,298,189,64,2,43,164,192,163,2,420,16,13,3,24,12,3,0.21423436
